8827.309464 0.000000
8827.309464 0.025000
11908.667116 0.025000
11908.667116 0.050000
12109.004826 0.050000
12109.004826 0.075000
12185.023114 0.075000
12185.023114 0.100000
12977.044923 0.100000
12977.044923 0.125000
13590.499322 0.125000
13590.499322 0.150000
13608.716673 0.150000
13608.716673 0.175000
13862.970416 0.175000
13862.970416 0.200000
15469.291009 0.200000
15469.291009 0.225000
15948.276851 0.225000
15948.276851 0.250000
16152.810280 0.250000
16152.810280 0.275000
16320.420683 0.275000
16320.420683 0.300000
16698.647255 0.300000
16698.647255 0.325000
17728.338936 0.325000
17728.338936 0.350000
17884.769169 0.350000
17884.769169 0.375000
19002.894442 0.375000
19002.894442 0.400000
19154.063729 0.400000
19154.063729 0.425000
19233.767475 0.425000
19233.767475 0.450000
19865.555007 0.450000
19865.555007 0.475000
20278.327446 0.475000
20278.327446 0.500000
20603.776408 0.500000
20603.776408 0.525000
21129.296026 0.525000
21129.296026 0.550000
21352.336128 0.550000
21352.336128 0.575000
22054.720492 0.575000
22054.720492 0.600000
22660.676788 0.600000
22660.676788 0.625000
22972.466960 0.625000
22972.466960 0.650000
23330.650972 0.650000
23330.650972 0.675000
23627.198930 0.675000
23627.198930 0.700000
24585.231750 0.700000
24585.231750 0.725000
24994.585574 0.725000
24994.585574 0.750000
25176.859715 0.750000
25176.859715 0.775000
26114.683247 0.775000
26114.683247 0.800000
26341.694559 0.800000
26341.694559 0.825000
26680.609015 0.825000
26680.609015 0.850000
26846.649659 0.850000
26846.649659 0.875000
27084.230889 0.875000
27084.230889 0.900000
30060.835454 0.900000
30060.835454 0.925000
33262.645422 0.925000
33262.645422 0.950000
33408.738701 0.950000
33408.738701 0.975000
33832.147466 0.975000
33832.147466 1.000000
