8181.898787 0.000000
8181.898787 0.025000
10853.824222 0.025000
10853.824222 0.050000
11110.236557 0.050000
11110.236557 0.075000
11245.947281 0.075000
11245.947281 0.100000
11875.367284 0.100000
11875.367284 0.125000
11892.140297 0.125000
11892.140297 0.150000
12278.706075 0.150000
12278.706075 0.175000
12591.535270 0.175000
12591.535270 0.200000
12907.842199 0.200000
12907.842199 0.225000
13382.186960 0.225000
13382.186960 0.250000
13828.643909 0.250000
13828.643909 0.275000
14219.843700 0.275000
14219.843700 0.300000
14321.264026 0.300000
14321.264026 0.325000
14509.118018 0.325000
14509.118018 0.350000
15037.215976 0.350000
15037.215976 0.375000
15467.908470 0.375000
15467.908470 0.400000
15878.377894 0.400000
15878.377894 0.425000
16069.162223 0.425000
16069.162223 0.450000
16272.621613 0.450000
16272.621613 0.475000
17141.540208 0.475000
17141.540208 0.500000
17175.255769 0.500000
17175.255769 0.525000
17256.163436 0.525000
17256.163436 0.550000
17381.418719 0.550000
17381.418719 0.575000
17487.428219 0.575000
17487.428219 0.600000
17641.007189 0.600000
17641.007189 0.625000
17647.451480 0.625000
17647.451480 0.650000
19324.696593 0.650000
19324.696593 0.675000
19477.906164 0.675000
19477.906164 0.700000
19811.222022 0.700000
19811.222022 0.725000
19822.945730 0.725000
19822.945730 0.750000
20261.074771 0.750000
20261.074771 0.775000
21485.704168 0.775000
21485.704168 0.800000
22192.526042 0.800000
22192.526042 0.825000
22270.674016 0.825000
22270.674016 0.850000
23965.657207 0.850000
23965.657207 0.875000
24788.275868 0.875000
24788.275868 0.900000
25417.824020 0.900000
25417.824020 0.925000
25801.589261 0.925000
25801.589261 0.950000
28428.645807 0.950000
28428.645807 0.975000
30452.124307 0.975000
30452.124307 1.000000
